State	State action	uplim	dnlim	ups	dns	CRON OPEN	CRON CLOSE	WEB OPEN	WEB CLOSE	motor up	motor down	action on input 	next state
START		0	X	0	0	0	0	0	0	0	0	0	START
START		0	X	>	0	X	0	X	0	0	0	START TIMED MOTOR UP	START
START		0	X	X	0	1	0	0	0	0	0	START TIMED MOTOR UP	START
START		0	X	X	0	X	0	1	0	0	0	START TIMED MOTOR UP	START
START		X	0	0	>	0	X	0	0	0	0	START TIMED MOTOR DN	START
START		X	0	0	X	0	1	0	0	0	0	START TIMED MOTOR DN	START
START		X	0	0	X	0	X	0	1	0	0	START TIMED MOTOR DN	START
START		0	X	X	X	X	X	X	X	1	0	NO ACTION	OPENING
START		X	0	X	X	X	X	X	X	0	1	NO ACTION	CLOSING
OPENING		1	0	X	X	X	X	X	X	1	0	TERMINATE TIMED MOTOR UP	OPEN
OPEN		1	0	0	0	0	0	0	0	X	0	NO ACTION	OPEN
OPEN		X	0	0	1	0	X	0	X	0	0	START TIMED MOTOR DN	OPEN
OPEN		X	0	X	X	X	X	X	X	0	1	NO ACTION	CLOSING
OPEN		X	0	0	X	0	1	0	0	0	0	START TIMED MOTOR DN	OPEN
OPEN		X	0	0	X	0	X	0	1	0	0	START TIMED MOTOR DN	OPEN
CLOSING		0	1	X	X	X	X	X	X	1	0	TERMINATE TIMED MOTOR DN	CLOSED
CLOSED		0	1	0	0	0	0	0	0	0	X	NO ACTION	CLOSED
CLOSED		0	X	1	0	X	0	X	0	0	0	START TIMED MOTOR UP	CLOSED
CLOSED		0	X	X	X	X	X	X	X	1	0	NO ACTION	OPENING
CLOSED		0	X	X	0	1	0	0	0	0	0	START TIMED MOTOR UP	CLOSED
CLOSED		0	X	X	0	X	0	1	0	0	0	START TIMED MOTOR UP	CLOSED
ANY STATE		X	X	X	X	X	X	X	X	1	1	TERMINATE MOTOR UP; TERMINATE MOTOR DN	MOT ERROR
ANY STATE		1	1	X	X	X	X	X	X	X	X	TERMINATE MOTOR UP; TERMINATE MOTOR DN	LIM ERROR
MOT ERROR		X	X	>	X	X	X	X	X	X	0	TERMINATE MOTOR UP; TERMINATE MOTOR DN	START
MOT ERROR		X	X	>	X	X	X	X	X	0	X	TERMINATE MOTOR UP; TERMINATE MOTOR DN	START
LIM ERROR		0	X	>	X	X	X	X	X	X	X	TERMINATE MOTOR UP; TERMINATE MOTOR DN	START
LIM ERROR		X	0	>	X	X	X	X	X	X	X	TERMINATE MOTOR UP; TERMINATE MOTOR DN	START
